"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Параметризованный тест-ловушка для отлова багов валидации полей.","40","test_booking_invalid_payload_ddt[deposit_string]","tests","2026-06-04","failed","2026-06-04","TestBookingLifecycle","test_booking","",""
"Параметризованный тест-ловушка для отлова багов валидации полей.","40","test_booking_invalid_payload_ddt[firstname_null]","tests","2026-06-04","failed","2026-06-04","TestBookingLifecycle","test_booking","",""
"Проверка создание брони с некорректными датами (Логика дат)","36","test_create_booking_incorrect_dates","tests","2026-06-04","failed","2026-06-04","TestBookingLifecycle","test_booking","",""
"Проверка удаления брони (без токена авторизиции)","40","test_delete_booking_without_auth","tests","2026-06-04","passed","2026-06-04","TestBookingLifecycle","test_booking","",""
"Удаление созданной брони (DELETE)","82","test_delete_booking","tests","2026-06-04","passed","2026-06-04","TestBookingLifecycle","test_booking","",""
"Параметризованный тест-ловушка для отлова багов валидации полей.","65","test_booking_invalid_payload_ddt[price_string]","tests","2026-06-04","failed","2026-06-04","TestBookingLifecycle","test_booking","",""
"Проверка доступности API (Ping)","43","test_health_check","tests","2026-06-04","passed","2026-06-04","TestBookingLifecycle","test_booking","",""
"Проверка получения списка id броней","44","test_get_booking_ids","tests","2026-06-04","passed","2026-06-04","TestBookingLifecycle","test_booking","",""
"Полное обновление брони (PUT)","43","test_update_booking","tests","2026-06-04","passed","2026-06-04","TestBookingLifecycle","test_booking","",""
"Параметризованный тест-ловушка для отлова багов валидации полей.","37","test_booking_invalid_payload_ddt[firstname_int]","tests","2026-06-04","failed","2026-06-04","TestBookingLifecycle","test_booking","",""
"Частичное обновление брони (PATCH)","48","test_partial_update_booking","tests","2026-06-04","passed","2026-06-04","TestBookingLifecycle","test_booking","",""
"Параметризованный тест-ловушка для отлова багов валидации полей.","41","test_booking_invalid_payload_ddt[date_format]","tests","2026-06-04","failed","2026-06-04","TestBookingLifecycle","test_booking","",""
"Параметризованный тест-ловушка для отлова багов валидации полей.","36","test_booking_invalid_payload_ddt[price_negative]","tests","2026-06-04","failed","2026-06-04","TestBookingLifecycle","test_booking","",""
"Проверка фильтрации бронирований через параметры запроса (Query Parameters)","53","test_get_booking_ids_query_parameters","tests","2026-06-04","passed","2026-06-04","TestBookingLifecycle","test_booking","",""
"Проверка полного обновления данных брони (без токена авторизации)","39","test_update_booking_without_auth","tests","2026-06-04","passed","2026-06-04","TestBookingLifecycle","test_booking","",""
"Создание брони (POST)","41","test_create_booking","tests","2026-06-04","passed","2026-06-04","TestBookingLifecycle","test_booking","",""
"Проверка получения данных о брони по id","40","test_get_booking","tests","2026-06-04","passed","2026-06-04","TestBookingLifecycle","test_booking","",""
